Team,Driver 1,Driver 2,Engine Manufacturer,Car
Stake F1 Team Kick Sauber,Valtteri Bottas,Zhou Guanyu,Ferrari,Stake F1 Team Kick Sauber
Visa Cash App RB,Yuki Tsunoda,Daniel Ricciardo,Honda,Visa Cash App RB
Alpine,Esteban Ocon,Pierre Gasly,Renault,Alpine
Aston Martin,Fernando Alonso,Lance Stroll,Mercedes,Aston Martin
Ferrari,Charles Leclerc,Carlos Sainz Jr,Ferrari,Ferrari
Haas,Kevin Magnussen,Nico HÃ¼lkenberg,Ferrari,Haas
McLaren,Lando Norris,Oscar Piastri,Mercedes,McLaren
Mercedes,George Russell,Lewis Hamilton,Mercedes,Mercedes
Red Bull,Max Verstappen,Sergio Perez,Honda,Red Bull
Williams,Logan Sargeant,Alexander Albon,Mercedes,Williams

